request|status_code|response_size|response_time|city_id|change_latitude|current_latitude|type|newSearch|listType
GET|200|134|3.671|427|25.2048493|0|||
POST|200|81|5.806||||||
GET|200|134|3.388|427|25.2048493|0|||
POST|200|13131|4.919||25.2048493|0|||
POST|200|1700|262.842||25.2048493|0|||
POST|200|383|221.472||25.2048493|0|||
POST|200|12820|5.478|466|19.0759837|0|||
POST|200|13131|5.392|466|19.0759837|0|City|0.0|search
GET|200|2570|749.527|466|19.0759837|0|||
POST|200|13131|5.875|427|25.2048493|0|City|0.0|search
POST|200|12812|9.282|427|25.2048493|0|||
GET|200|3108|1187.534|427|25.2048493|0|||
GET|200|134|4.550|427|25.2048493|0|||
POST|200|81|8.502||||||
GET|200|134|3.294|427|25.2048493|0|||
POST|200|81|10.343||||||
GET|200|134|3.521|427|25.2048493|0|||
POST|200|81|13.442||||||
POST|200|1076|160.070||25.2048493|0|||
POST|200|12820|5.574|466|19.0759837|0|||
POST|200|13131|8.257|466|19.0759837|0|City|0.0|search
GET|200|2976|781.084|466|19.0759837|0|||
GET|200|134|4.683|466|19.0759837|0|||
POST|200|81|5.943||||||
GET|200|134|7.632|466|19.0759837|0|||
POST|200|81|12.884||||||
GET|200|134|3.260|466|19.0759837|0|||
GET|200|134|3.415|466|19.0759837|0|||
POST|200|81|8.909||||||
GET|200|13983|58.673|466|19.0759837|0|||
GET|200|14165|72.590|466|19.0759837|0|||
GET|200|134|3.130|466|19.0759837|0|||
POST|200|81|9.352||||||
GET|200|134|3.441|466|19.0759837|0|||
POST|200|81|8.257||||||
GET|200|132|2.706|427|25.2048493|0|||
POST|200|81|6.248||||||
GET|200|2827|895.197|427|25.2048493|0|||
POST|200|13131|5.664|427|25.2048493|0|City|0.0|search
POST|200|12812|5.536|427|25.2048493|0|||
POST|200|115|2.628||||EMAIL||
POST|200|811|5.855||||EMAIL||
POST|200|2802|653.865||0|0|||
POST|200|2782|223.307||0|0|||
GET|200|134|4.959|427|25.2048493|0|||
POST|200|81|6.277||||||
POST|200|12812|7.293|427|25.2048493|0|||
POST|200|13131|5.252|427|25.2048493|0|City|0.0|search
GET|200|2882|920.213|427|25.2048493|0|||
GET|200|134|59.486|427|25.2048493|0|||
POST|200|81|20.388||||||
POST|200|113|7.372||||EMAIL||
POST|200|802|57.040||||EMAIL||
GET|200|134|7.955||0|0|||
POST|200|81|10.296||||||
POST|200|82|7.197||||||
POST|200|12812|13.652|427|25.0858429|25.0858429|||
POST|200|13131|7.934|427|25.0858429|25.0858429|City|0.0|search
GET|200|2908|939.618|427|25.0858429|25.0858429|||
GET|200|1172|433.930|427|25.0858429|25.0858429|||
GET|200|359|81.389|427|25.0858429|25.0858429|||
POST|200|254|90.393||||||
POST|200|10366|58.277|427|25.0858429|25.0858429|||
GET|200|134|3.605|427|25.2048493|0|||
POST|200|81|9.546||||||
GET|200|134|3.622|427|25.2048493|0|||
POST|200|81|6.520||||||
GET|200|134|3.333|427|25.0858429|25.0858429|||
POST|200|81|8.374||||||
POST|200|254|110.614||||||
POST|200|10366|57.962|427|25.0858429|25.0858429|||
POST|200|254|117.235||||||
POST|200|10366|57.928|427|25.0858429|25.0858429|||
POST|200|81|6.299||||||
GET|200|134|4.698|427|25.2048493|0|||
GET|200|134|6.809|427|25.2048493|0|||
POST|200|82|6.294||||||
POST|200|81|6.553||||||
POST|200|12812|16.559|427|25.2048493|0|||
POST|200|13131|23.414|427|25.2048493|0|City|0.0|search
GET|200|2882|924.412|427|25.2048493|0|||
POST|200|81|8.834||||||
GET|200|134|3.631|427|25.2048493|0|||
GET|200|134|3.550|427|25.2048493|0|||
POST|200|81|6.125||||||
POST|200|12812|15.934|427|25.2048493|0|||
POST|200|13131|8.967|427|25.2048493|0|City|0.0|search
GET|200|2882|1164.395|427|25.2048493|0|||
POST|200|12812|6.831|427|25.2048493|0|||
GET|200|2992|1098.032|427|25.2048493|0|||
GET|200|134|3.746|427|25.2048493|0|||
POST|200|81|6.791||||||
GET|200|134|3.794|466|19.1181031|19.1181031|||
